date | value
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42
2012-01-11 | 1
2012-01-11|1
2012-01-11 | 2147483648
2041-01-09 | 1
2009-01-01 | 1
1001-01-01 | 1
2019-01-13 | s1
2019-01-13 b| 1
2019-01-13 	|		 1
2019-01-13 |		 1
2019-01-13 | --1.000000000000000000000000000000000000000
2019-01-13 | +1.000000000000000000000000000000000000000
2019-01-13 | +++++1.000000000000000000000000000000000000000
2019-01-13 | +++++1.000000000000000000000000000000000000000
2019-01-13 | 0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
2019-01-13 | 0.00028313
